calc,b1_0,b1_1,w1_0,w1_0,w1_0,w1_1,b2_0,b2_1,b2_2,w2_0,w2_0,w2_0,w2_1,w2_0,w2_2,cost
100,-0.002845277173553155,0.010308317814436002,-0.002845277173553155,-0.002845277173553155,0.010308317814436002,0.010308317814436002,-0.017714292304161893,-0.0577271429478737,-2.2893115305653952E-10,-0.017523289665843263,-0.017097731170142988,-0.057104705629107654,-0.055717900235352225,-2.2646272510715699E-10,-2.2096300796120128E-10,1.082201178481852
200,-0.0028483082859214444,0.010293685620480683,-0.0028483082859214444,-0.0028483082859214444,0.010293685620480683,0.010293685620480683,-0.01767729039036105,-0.0577785794399185,-2.303654534034225E-10,-0.017486606432469104,-0.017063118778361062,-0.057155325085564194,-0.05577114716437961,-2.2788051394457364E-10,-2.2236174249855238E-10,1.082496466672913
300,-0.002851347525111153,0.010279108717405956,-0.002851347525111153,-0.002851347525111153,0.010279108717405956,0.010279108717405956,-0.017640458269503022,-0.057830067610013504,-2.318127183222418E-10,-0.01745009129167062,-0.017028663180949904,-0.05720599452582418,-0.05582444220085583,-2.2931111173493388E-10,-2.2377313792319528E-10,1.0827914873285873
400,-0.0028543949061805075,0.010264586794570582,-0.0028543949061805075,-0.0028543949061805075,0.010264586794570582,0.010264586794570582,-0.017603795017137467,-0.05788160772825969,-2.3327309287191755E-10,-0.017413743326996294,-0.016994363542321266,-0.057256714211484754,-0.055877785624660684,-2.307546617312682E-10,-2.2519733620209317E-10,1.0830862454080676
500,-0.002857450444435162,0.010250119542674838,-0.002857450444435162,-0.002857450444435162,0.010250119542674838,0.010250119542674838,-0.017567299713895763,-0.05793320006528124,-2.347467240197139E-10,-0.01737756162703073,-0.016960219031345394,-0.057307484404629024,-0.0559311777163292,-2.3221130907042018E-10,-2.2663448117275974E-10,1.0833807458568139
600,-0.0028605141554267,0.010235706653753517,-0.0028605141554267,-0.0028605141554267,0.010235706653753517,0.010235706653753517,-0.017530971445474493,-0.057984844892219584,-2.362337606853633E-10,-0.017341545285378283,-0.016926228821338405,-0.05735830536782016,-0.05598461875704457,-2.33681200816625E-10,-2.28084718586314E-10,1.0836749936066798
700,-0.002863586054952527,0.010221347821169707,-0.002863586054952527,-0.002863586054952527,0.010221347821169707,0.010221347821169707,-0.017494809302618635,-0.05803654248073028,-2.3773435376351685E-10,-0.017305693400646346,-0.016892392090049342,-0.05740917736409802,-0.05603810902863385,-2.3516448598364587E-10,-2.2954819612962118E-10,1.0839689935760604
800,-0.002866666159054783,0.010207042739607465,-0.002866666159054783,-0.002866666159054783,0.010207042739607465,0.010207042739607465,-0.01745881238110462,-0.05808829310297687,-2.39248656143666E-10,-0.0172700050764285,-0.016858708019647096,-0.05746010065697296,-0.05609164881356078,-2.366613155544082E-10,-2.3102506344499805E-10,1.0842627506700169
900,-0.00286975448401971,0.010192791105065,-0.00286975448401971,-0.00286975448401971,0.010192791105065,0.010192791105065,-0.017422979781723063,-0.05814009703162688,-2.407768227584195E-10,-0.017234479421287384,-0.016825175796707014,-0.05751107551042168,-0.05614523839492077,-2.3817184252868115E-10,-2.3251547217730488E-10,1.0845562697804214
1000,-0.0028728510463767263,0.01017859261484835,-0.0028728510463767263,-0.0028728510463767263,0.01017859261484835,0.01017859261484835,-0.01738731061026157,-0.05819195453984781,-2.423190105986804E-10,-0.01719911554873761,-0.016791794612197514,-0.05756210218888314,-0.05619887805643562,-2.3969622193801596E-10,-2.340195759890863E-10,1.0848495557860915
1100,-0.0028759558628979882,0.010164446967563886,-0.0028759558628979882,-0.0028759558628979882,0.010164446967563886,0.010164446967563886,-0.017351803977487066,-0.058243865901302004,-2.4387537874877004E-10,-0.017163912577228192,-0.01675856366146628,-0.0576131809572533,-0.056252568082447524,-2.4123461088041347E-10,-2.3553753059498047E-10,1.0851426135529298
1200,-0.0028790689505974344,0.010150353863111613,-0.0028790689505974344,-0.0028790689505974344,0.010150353863111613,0.010150353863111613,-0.0173164589991282,-0.05829583139014244,-2.4544608842206206E-10,-0.0171288696301251,-0.0167254821442265,-0.057664312080880735,-0.05630630875791371,-2.427871685554951E-10,-2.3706949379663095E-10,1.0854354479340598
1300,-0.0028821903267301145,0.01013631300267829,-0.0028821903267301145,-0.0028821903267301145,0.01013631300267829,0.01013631300267829,-0.017281274795857362,-0.05834785128100932,-2.4703130299428507E-10,-0.017093985835693364,-0.01669254926454267,-0.057715495825563214,-0.056360100368402034,-2.4435405629736616E-10,-2.386156255153566E-10,1.08572806376997
