calc,b1_0,b1_1,w1_0,w1_0,w1_0,w1_1,b2_0,b2_1,b2_2,w2_0,w2_0,w2_0,w2_1,w2_0,w2_2,cost
100,-4.183268740497855,2.3947335812760593,0.020581543639752977,8.681686068900087,4.6156923554285925,-3.6878823638610476,-6.355409179320279,3.9860357106470827,-9.773417395699822,0.01916336691363889,-3.689692186985299,4.615131733157171,-4.183230398481881,8.681662570505484,2.3912144313654533,1.082201178481852
200,-4.183454728693507,2.3951144042467436,0.02037226332884656,8.681655598688646,4.615688997281385,-3.686403172326005,-6.355947291206763,3.9868117620475854,-9.775142903072837,0.017482336636356496,-3.6900968286558244,4.614543365374606,-4.1833764351000875,8.681607539162846,2.3879219733959003,1.082496466672913
300,-4.183641138857248,2.395495012760627,0.020162522363885264,8.681625104163258,4.615685636180981,-3.6849247800761082,-6.356483472095346,3.987588248793852,-9.776872502879211,0.015806463132199317,-3.690500846345887,4.61395394282498,-4.183522881122066,8.681552398200266,2.384621616328469,1.0827914873285873
400,-4.183827972702171,2.3958754082427896,0.019952319091706094,8.681594584892402,4.615682272128951,-3.6834471827237376,-6.357017726145892,3.988365170454578,-9.778606211147649,0.01413573196418436,-3.690904240284561,4.613363462733177,-4.18366973791467,8.681497147221902,2.3813133291938504,1.0830862454080676
500,-4.184015231946171,2.3962555921511135,0.01974165185322347,8.681564040445693,4.615678905126978,-3.6819703758397657,-6.3575500575292105,3.989142526598314,-9.780344043975065,0.012470128707701802,-3.691307010709999,4.612771922313771,-4.183817006850411,8.68144178583053,2.377997080890015,1.0833807458568139
600,-4.184202918311935,2.3966355659762004,0.01953051898343541,8.68153347039391,4.615675535176872,-3.6804943549538485,-6.358080470426657,3.9899203167934365,-9.78208601752669,0.010809638951134952,-3.6917091578693046,4.612179318770949,-4.183964689307498,8.681386313627549,2.3746728401819808,1.0836749936066798
700,-4.184391033526936,2.3970153312412865,0.019318918811430427,8.68150287430895,4.615672162280559,-3.6790191155547074,-6.358608969029721,3.9906985406081126,-9.78383214803619,0.009154248296470591,-3.6921106820184226,4.611585649298427,-4.184112786669895,8.681330730212986,2.371340575701604,1.0839689935760604
800,-4.18457957932343,2.3973948895021597,0.019106849660395286,8.681472251763836,4.615668786440093,-3.6775446530904103,-6.359135557539637,3.99147719761027,-9.785582451805737,0.007503942359899911,-3.692511583422011,4.610990911079364,-4.1842613003273526,8.6812750351855,2.368000255947362,1.0842627506700169
900,-4.184768557438443,2.3977742423470803,0.018894309847623483,8.681441602332683,4.615665407657661,-3.676070962968649,-6.359660240166978,3.992256287367561,-9.787336945206121,0.00585870677241005,-3.6929118623533292,4.610395101286283,-4.184410231675454,8.68121922814238,2.3646518492841584,1.0845562697804214
1000,-4.184957969613762,2.398153391396708,0.018681297684524506,8.68141092559071,4.615662025935572,-3.674598040557014,-6.36018302113128,3.9930358094473317,-9.78909564467685,0.004218527180366318,-3.69331151909412,4.6097982170809795,-4.184559582115678,8.681163308679551,2.361295323943133,1.0848495557860915
1100,-4.185147817595925,2.398532338304024,0.018467811476633983,8.681380221114205,4.615658641276274,-3.6731258811832634,-6.3607039046606495,3.9938157634165887,-9.790858566726211,0.002583389246085249,-3.693710553934492,4.609200255614444,-4.184709353055428,8.68110727639157,2.357930648021483,1.0851426135529298
1200,-4.185338103136205,2.398911084754263,0.018253849523624608,8.681349488480523,4.615655253682337,-3.6716544801355933,-6.361222894991389,3.9945961488419646,-9.792625727931368,0.00095327864839854,-3.6941089671728045,4.6086012140267725,-4.1848595459080915,8.681051130871637,2.354557789482293,1.0854354479340598
1300,-4.185528827990605,2.3992896324648445,0.018039410119317978,8.68131872726807,4.615651863156475,-3.6701838326628984,-6.361739996367627,3.9953769652896827,-9.79439714493842,-0.0006718189167920551,-3.6945067591155576,4.608001089447074,-4.185010162093085,8.680994871711595,2.3511767161543813,1.08572806376997
