in1,in2,out1,targ1,cost
0,0,-0.5671414958477043,0,0.3216494763123717
0,1,-0.5172923483971972,1,2.3021760705046814
1,0,-0.3067949618150573,1,1.7077130722252174
1,1,-0.2852878364656864,0,0.08138914963527222
0,0,-0.5164946073520325,0,0.26676667942373017
0,1,-0.4619937692771248,1,2.1374257814051347
1,0,-0.20962665206429126,1,1.4631966373842662
1,1,-0.19710013014977557,0,0.038848461305058465
0,0,-0.4242228839040685,0,0.17996505522788475
0,1,-0.362009891395199,1,1.8550709442583617
1,0,-0.07565345615244164,1,1.1570303577326926
1,1,-0.06715298207581463,0,0.004509523001674681
0,0,-0.5530307636834113,0,0.3058430255802571
0,1,-0.501451546541856,1,2.2543567466129315
1,0,-0.2544600277139977,1,1.5736699611322038
1,1,-0.24414211660140195,0,0.059605373098612545
0,0,-0.3747821558497589,0,0.14046166434339297
0,1,-0.31006074276321954,1,1.7162591497293187
1,0,-0.013600197497662628,1,1.0273853603673009
1,1,-0.007045729642762977,0,4.964230619890891E-05
0,0,-0.5864994727661347,0,0.3439816315549539
0,1,-0.5378394862309166,1,2.3649502854109694
1,0,-0.29606799549176693,1,1.6797922489380466
1,1,-0.2882548467968292,0,0.08309085670186349
0,0,-0.32440901040428294,0,0.10524120603148615
0,1,-0.25761883110363043,1,1.581605124346462
1,0,0.04763644500892717,1,0.9069963408752342
1,1,0.05191161890156754,0,0.0026948161769815844
0,0,-0.616824353619539,0,0.3804722832181621
0,1,-0.5710038285273569,1,2.468053029247613
1,0,-0.33425028453717737,1,1.7802238217875386
1,1,-0.3291116098972109,0,0.10831445176913392
0,0,-0.27377069264613235,0,0.07495039215194306
0,1,-0.2053750696003498,1,1.4529290584140482
1,0,0.10721551601917162,1,0.797064134836914
1,1,0.10898336382260768,0,0.011877373590090872
0,0,-0.6440370991457467,0,0.41478378507606833
0,1,-0.6009166208408729,1,2.5629340268845593
1,0,-0.3689170119592408,1,1.8739337856314164
1,1,-0.36651608827117144,0,0.13433404296160112
0,0,-0.22345072567108887,0,0.04993022680293621
0,1,-0.15390970861893127,1,1.3315076156450265
1,0,0.16449984961308595,1,0.698060501296556
1,1,0.16363730404050605,0,0.026777167273645017
0,0,-0.6682595985109622,0,0.44657089100203234
0,1,-0.6276587450093625,1,2.649272990205453
1,0,-0.4000843245040742,1,1.9602361157220296
1,1,-0.40040101660302646,0,0.16032097409673707
0,0,-0.1739281525595853,0,0.030251002252790378
0,1,-0.10367723071816995,1,1.2181034296057285
1,0,0.21904890955147363,1,0.6098846056727425
1,1,0.2155313952826215,0,0.04645378235247363
0,0,-0.6896805393366268,0,0.4756592463396604
0,1,-0.6513950126342961,1,2.7271054877534273
1,0,-0.42786022635209536,1,2.038784825998257
1,1,-0.43081320052829625,0,0.185600013749434
0,0,-0.1255734592947237,0,0.015768693679243627
0,1,-0.05500897875555921,1,1.113043945254848
1,0,0.2705947961551143,1,0.5320319513959992
1,1,0.2644850915676304,0,0.06995236366153783
0,0,-0.7085311152786001,0,0.5020163413179369
0,1,-0.6723469435536429,1,2.796744299613211
1,0,-0.4524235458971418,1,2.1095341566764265
1,1,-0.4578896104240631,0,0.2096628953343003
0,0,-0.07865636042763516,0,0.0061868230357220505
0,1,-0.008127281574079218,1,1.0163206158539426
1,0,0.31901095449385014,1,0.46374608009937696
1,1,0.3104448949374876,0,0.09637603279274773
0,0,-0.7250635283174283,0,0.5257171200961182
0,1,-0.6907678269917031,1,2.858695844790246
1,0,-0.4740008805581387,1,2.172678595886168
1,1,-0.48183062756787504,0,0.23216075366245228
0,0,-0.0333605173886133,0,0.0011129241204359704
0,1,0.03683469913860084,1,0.9276873967834296
1,0,0.3642797883366135,1,0.4041401875173409
1,1,0.3534503689816147,0,0.12492716333323957
0,0,-0.7395342777179121,0,0.546910947919754
0,1,-0.7069227087941058,1,2.913585133797007
1,0,-0.4928455963281367,1,2.22858797447631
1,1,-0.5028752885067599,0,0.252883555790757
0,0,0.010198803090922942,0,0.00010401558448741936
0,1,0.07981171098147487,1,0.8467464872468408
1,0,0.4064627076369034,1,0.35228651742571604
1,1,0.39360405053167336,0,0.15492414859494008
0,0,-0.7521926887061889,0,0.5657938409430456
0,1,-0.7210741175978395,1,2.962096118265182
1,0,-0.5092211864807552,1,2.2777485897223784
1,1,-0.5212812494377439,0,0.27173414101537535
0,0,0.051956845412678546,0,0.0026995137852369754
0,1,0.12078640742375797,1,0.773016541370822
1,0,0.4456743137881513,1,0.30727696639423685
1,1,0.431046681876552,0,0.1858012419567854
0,0,-0.7632741533946861,0,0.5825874332403748
0,1,-0.733473127600446,1,3.0049290841128724
1,0,-0.5233896717058257,1,2.3207160918599836
1,1,-0.5373103291053878,0,0.2887023897633401
0,0,0.09188278332989276,0,0.00844244587244802
0,1,0.15977188635192247,1,0.7059832829646068
1,0,0.48206127263001325,1,0.2682605253096414
1,1,0.4659379215926545,0,0.21709814677808267
0,0,-0.7729971337351276,0,0.5975245687627228
0,1,-0.7443547837055609,1,3.042773611436474
1,0,-0.5356046966642486,1,2.3580817844172994
1,1,-0.5512193088268702,0,0.3038427264235725
0,0,0.129965045731921,0,0.016890913112100316
